tnum	tval	tname	tplateau
16	18	Web-Based Office Productivity Suites	Five_to_10_years
17	23	Mobile Transphones	Five_to_10_years
18	28	Personal Cloud	Five_to_10_years
19	33	TV Widgets	Five_to_10_years
19	33	Tera-architectures	More_than_10_years
20	38	Community Cloud	Five_to_10_years
20	38	High-Assurance Public Identity Provider	Five_to_10_years
20	38	OAuth	Five_to_10_years
22	48	Social Content	Five_to_10_years
23	53	Citizen Data Vaults	More_than_10_years
23	53	Cloud Computing	Five_to_10_years
23	53	Integrated UPS	Two_to_five_years
23	53	Mobile Internet Analytics	Two_to_five_years
24	58	ERP App Stores/Marketplaces	Five_to_10_years
24	58	Location-Aware Applications	Five_to_10_years
25	63	Autonomous Vehicles	Five_to_10_years
25	63	Context Delivery Architecture	Five_to_10_years
26	68	Cloud Email for Staff and Faculty	Two_to_five_years
26	68	Socialcasting	Two_to_five_years
27	73	Cloud Application Development Services	Five_to_10_years
27	73	Simultaneous Collaborative Editing	Five_to_10_years
28	78	Speech-to-Speech Translation	Five_to_10_years
29	83	Cloud Printing Services	Five_to_10_years
29	83	Cloud UC (UCaaS)	Two_to_five_years
29	83	Context-Enriched Services	Five_to_10_years
29	83	Home Energy Management/Consumer Energy Management	Five_to_10_years
29	83	Image Recognition	Five_to_10_years
29	83	Mobile Web Applications	Two_to_five_years
29	83	noSQL Database Management Systems	Two_to_five_years
30	88	Database Platform as a Service (dbPaaS)	Two_to_five_years
30	88	HTML5	Five_to_10_years
30	88	Social Software Standards	Five_to_10_years
32	93	Browser Client OS	Two_to_five_years
32	93	Cloud Collaboration Services	Five_to_10_years
32	93	In-App Advertising	Two_to_five_years
32	93	Location-Aware Technologies	Five_to_10_years
35	98	Application PaaS (aPaaS)	Two_to_five_years
35	98	Cloud Email	Two_to_five_years
35	98	Government Cloud	Two_to_five_years
35	98	Location-Based Services in Automotive	Two_to_five_years
35	98	Platform as a Service (PaaS)	Two_to_five_years
35	98	Semantic Web	More_than_10_years
40	100	Cloud Computing	Five_to_10_years
40	100	Healthcare Payer Member Portals	Two_to_five_years
40	100	Mobile Collaboration Client	Less_than_two_years
40	100	NFC Payment	Five_to_10_years
40	100	NFC-Enabled Mobile Payment System ? North America	Two_to_five_years
40	100	Social-Learning Platform for Education	Two_to_five_years
45	98	Augmented Reality	Five_to_10_years
45	98	Cloud Computing	Two_to_five_years
45	98	NFC	Five_to_10_years
45	98	Web-Based Office Productivity Suites	Two_to_five_years
48	95	Cloud HPC/CaaS	Two_to_five_years
48	95	Mobile Advertising in India	Five_to_10_years
48	95	Mobile Cloud Synchronization	Less_than_two_years
49	93	Community Marketing Automotive	Five_to_10_years
49	93	Mobile Application Stores	Two_to_five_years
49	93	Public Cloud Computing/the Cloud	Two_to_five_years
50	90	Online Video Publishing Platform Providers	Two_to_five_years
51	87	Enterprise Mashups	Two_to_five_years
51	87	Public Cloud Computing	Two_to_five_years
51	87	Web Experience Analytics	Two_to_five_years
52	83	Mobile VoIP	Two_to_five_years
52	83	Social Network Payment System	Two_to_five_years
52	83	Web Widgets	Two_to_five_years
55	68	Geospatial Mashups	Two_to_five_years
56	62	802.22	Two_to_five_years
56	62	The Direct Project	Two_to_five_years
56	62	Voice to Text on Mobile Devices	Two_to_five_years
56	62	White Spaces: Unlicensed Spectrum TV	Two_to_five_years
61	40	RIA Platforms	Two_to_five_years
63	35	Humanitarian Disaster Relief	Two_to_five_years
66	29	Cloud/Web Platforms	Two_to_five_years
66	29	Unified Communications and Collaboration	Two_to_five_years
73	20	Consumer Web Mashups	Two_to_five_years
78	15	Mobile Advertising ? Automotive	Five_to_10_years
78	15	Mobile Presence	Two_to_five_years
88	14	Global Library Digitization Projects	Obsolete_before_Plateau
93	16	Digital Marketing	Two_to_five_years
97	18	Mobile Advertising	Two_to_five_years
97	18	Mobile Browsers	Two_to_five_years
100	20	Digital Ad Operations Platforms	Two_to_five_years
107	24	Security Outsourcing	Less_than_two_years
113	28	Mashups	Less_than_two_years
113	28	Mobile Application Stores	Less_than_two_years
119	32	Open-Source Communications	Less_than_two_years
123	35	Open-Source Software in IP Telephony	Obsolete_before_Plateau
132	42	B2B Web Services	Two_to_five_years
132	42	Cloud Advertising	Two_to_five_years
132	42	E-Commerce Web 2.0 Tools for Selling	Two_to_five_years
132	42	Work Area Recovery	Less_than_two_years
139	47	Consumer Telematics	Five_to_10_years
139	47	Interactive TV	Two_to_five_years
139	47	Mobile Search	Less_than_two_years
156	55	Location-Based Services	Less_than_two_years
156	55	Web Analytics	Less_than_two_years
172	58	Location-Aware Applications	Less_than_two_years
172	58	Navigation Solutions	Two_to_five_years
187	60	Secure Email Gateway	Less_than_two_years
