tnum	tval	tname	tplateau
7	5	Java Enterprise Edition Version 7	Five_to_10_years
7	5	Optical System Buses	Five_to_10_years
11	8	Service-Level Standards	More_than_10_years
11	8	"Visualization, Simulation and Optimization for Enterprise Architecture"	Five_to_10_years
14	13	MDM of Social Data	Five_to_10_years
14	13	Reference Data Management	Obsolete_before_Plateau
16	18	Cloud-Driven Business and IT Services	Two_to_five_years
16	18	Collaborative Decision Making	Five_to_10_years
16	18	Cooling Management Techniques	Five_to_10_years
16	18	Core Banking BPO	Five_to_10_years
16	18	Enterprise-Class Agile Development	More_than_10_years
16	18	Finance and Accounting BPU	Five_to_10_years
17	23	Affective Computing	Five_to_10_years
17	23	Case Management Solutions	Two_to_five_years
17	23	Cloud UXP Services	Five_to_10_years
17	23	Financial Services Industry Architecture Frameworks	More_than_10_years
17	23	Molecular Transistors	More_than_10_years
17	23	Quantum Computing	More_than_10_years
17	23	Server SW Appliance	Five_to_10_years
18	28	ALM PaaS	Five_to_10_years
18	28	Legal GRC	Five_to_10_years
18	28	Private PaaS	Five_to_10_years
19	33	Comprehensive Performance Management Suites	Five_to_10_years
19	33	Entity Resolution and Analysis	More_than_10_years
19	33	Interactive Application Security Testing	Five_to_10_years
19	33	User Experience Platforms	Five_to_10_years
20	38	Case Management	Two_to_five_years
20	38	Community Cloud	Five_to_10_years
20	38	Customer-Centric Web Strategies	Two_to_five_years
20	38	Grid Computing	Five_to_10_years
20	38	Insurance Data Models	Five_to_10_years
20	38	MDM Applets	Two_to_five_years
20	38	Social Network Analysis for BPM	Five_to_10_years
21	43	Cloudbursting	Five_to_10_years
21	43	Event-Driven BPM	Five_to_10_years
21	43	Polymer Memory	More_than_10_years
21	43	Segmented Supply Chain Response	Five_to_10_years
21	43	Smart Governance Operating Framework	Two_to_five_years
21	43	pNFS	More_than_10_years
22	48	Cloud Transaction Processing Style of Application Design	Five_to_10_years
22	48	Intelligent Business Operations	Five_to_10_years
22	48	MDM of Human Resource Data	Five_to_10_years
22	48	Memristor Memory	Five_to_10_years
22	48	Social Content	Five_to_10_years
22	48	Telecom Operations Management Systems (TOMS) as a Service	Five_to_10_years
23	53	BPA for the Masses	Five_to_10_years
23	53	Cloud Computing	Five_to_10_years
23	53	Cloud Services Brokerage	Five_to_10_years
23	53	Cloud-Driven Business and IT Services	Two_to_five_years
23	53	Cloud-Enabled Application Platforms (CEAPs)	Two_to_five_years
23	53	Enterprise Security Intelligence	Five_to_10_years
23	53	Integrated Marketing Management	More_than_10_years
23	53	Integrated UPS	Two_to_five_years
23	53	Payment Frameworks	Five_to_10_years
23	53	Source-to-Pay BPO	Five_to_10_years
24	58	Hybrid Cloud Computing	Five_to_10_years
24	58	Instruction Set Virtualization	Five_to_10_years
24	58	Location-Aware Applications	Five_to_10_years
24	58	Online Channel Optimization	Five_to_10_years
24	58	Servers Using Flash Memory for System Speedup	Two_to_five_years
24	58	User-Owned Device Services	Five_to_10_years
25	63	"Configure, Price, Quote Application Suites"	Five_to_10_years
25	63	Context Delivery Architecture	Five_to_10_years
25	63	Managed File Transfer PaaS - no longer being covered	Less_than_two_years
25	63	Open PaaS	Two_to_five_years
26	68	Business Service Repository	Five_to_10_years
26	68	Data Center Bridging in India	Five_to_10_years
26	68	Enterprisewide Carbon and Energy Management Software Applications	Five_to_10_years
26	68	Mood Recognition	Five_to_10_years
26	68	Search-Based Data Discovery Tools	Five_to_10_years
27	73	Campaign Management SaaS	Five_to_10_years
27	73	Customer Management BPU	Five_to_10_years
27	73	Data Integration Platform as a Service	Two_to_five_years
27	73	Eye Tracking	Five_to_10_years
27	73	Heterogeneous Architectures	Five_to_10_years
27	73	IT Service Failover Automation	Five_to_10_years
27	73	Model-Driven Packaged Applications	Five_to_10_years
27	73	Multivector MDM	Five_to_10_years
27	73	Natural Language Question Answering	Five_to_10_years
27	73	Presence Federation	Five_to_10_years
27	73	Web Content Product Recommendation Engine	Two_to_five_years
28	78	Clinical Kiosks	More_than_10_years
28	78	Data Center Storage Encryption	Five_to_10_years
28	78	Data Integration Tools and Data Quality Tools Convergence	Two_to_five_years
28	78	Internet of Things	Five_to_10_years
28	78	Social Media Metrics	Two_to_five_years
28	78	Speech-to-Speech Translation	Five_to_10_years
28	78	Track and Trace	Five_to_10_years
28	78	Virtual Machine Resilience	Two_to_five_years
29	83	BPM Platform as a Service (bpmPaaS)	Two_to_five_years
29	83	Expertise Location and Management	Two_to_five_years
29	83	Federated SOA	Five_to_10_years
29	83	HCM Transformation	Five_to_10_years
29	83	In-Memory Data Grids	Two_to_five_years
29	83	Modular Self-Contained Aisle and Racking Systems	Two_to_five_years
29	83	Multichannel Retail Enterprise Content Management	Five_to_10_years
29	83	OSGi for Application Infrastructure Middleware	Two_to_five_years
29	83	Operational Technology (OT) Security	Five_to_10_years
29	83	Order-to-Cash BPO	Five_to_10_years
29	83	Real-Time Customer Offer Engines	Five_to_10_years
29	83	Social Network Analysis	Five_to_10_years
29	83	Water Management	Two_to_five_years
30	88	Application Security Professional Services	Five_to_10_years
30	88	Application Security as a Service	Two_to_five_years
30	88	Complex-Event Processing	Five_to_10_years
30	88	Convergent Communications Advertising Platforms (CCAPs)	Five_to_10_years
30	88	Data Services	Five_to_10_years
30	88	Fabric-Based Infrastructure	Five_to_10_years
30	88	Fabric-Based Infrastructure	Five_to_10_years
30	88	IAM as a Service	Five_to_10_years
30	88	MRO PLM Functionality	Five_to_10_years
30	88	Private Cloud Computing	Two_to_five_years
30	88	SOA Backplane	Two_to_five_years
30	88	Social Software for Retail Employee Collaboration	Two_to_five_years
30	88	Sustainability Business Operations Consulting Services	Two_to_five_years
30	88	User-Centric IAM	More_than_10_years
32	93	Cloud Collaboration Services	Five_to_10_years
32	93	Cloud-Based ECM	Two_to_five_years
32	93	DMZ Virtualization	Two_to_five_years
32	93	Enterprisewide Metadata Repositories	Five_to_10_years
32	93	IT Outsourcing ? Infrastructure Services: China	Obsolete_before_Plateau
32	93	Indirect-Procurement BPO	Five_to_10_years
32	93	Multichannel Loyalty	Two_to_five_years
32	93	Packaged Integration and Cloudstreams	Two_to_five_years
32	93	Private Cloud Computing	Two_to_five_years
32	93	Process Templates	Five_to_10_years
32	93	Processor Emulation	Five_to_10_years
32	93	Requirements Elicitation and Simulation	Two_to_five_years
32	93	SOA-Based Analytic Applications	Five_to_10_years
32	93	Server-Hardware-Assisted Virtualization	Obsolete_before_Plateau
32	93	Social Analytics	Two_to_five_years
32	93	Social Profiles	Two_to_five_years
35	98	Activity Streams	Two_to_five_years
35	98	Architected Model-Driven SODA	Five_to_10_years
