r	c	color	word
1	1	1	화난다, 좋다
1	2	2	열망을느낀다
1	3	3	감미롭다
1	4	101	없음
1	5	5	짜증난다
1	6	6	거부감이든다
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	혼란스럽다, 상큼하다, 기분좋다
2	1	101	없음
2	2	12	긴장하다
2	3	13	기분좋다
2	4	14	캄캄하다
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	19	걱정스럽다
2	10	20	유쾌하다, 기쁘다, 예쁘다
3	1	21	부끄럽다
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	25	막막하다
3	6	101	없음
3	7	101	없음
3	8	101	없음
3	9	101	없음
3	10	30	뿌듯하다
4	1	101	없음
4	2	101	없음
4	3	33	조바심이나다
4	4	34	고맙다
4	5	101	없음
4	6	101	없음
4	7	101	없음
4	8	38	좋다
4	9	101	없음
4	10	40	상큼하다
5	1	101	없음
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	101	없음
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	51	시원하다
6	2	52	아련하다
6	3	101	없음
6	4	54	자유스럽다, 활기차다
6	5	55	떫다, 멍해진다
6	6	56	안전하다, 마음이넓다
6	7	57	소박하다
6	8	101	없음
6	9	101	없음
6	10	60	감사함을느낀다, 마음이넓다, 산뜻하다, 보기좋다
7	1	101	없음
7	2	101	없음
7	3	101	없음
7	4	64	초조하다
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	68	온화하다, 막막하다
7	9	101	없음
7	10	101	없음
8	1	101	없음
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	78	애착이간다
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	101	없음
9	8	88	희망차다, 보기좋다
9	9	101	없음
9	10	101	없음
10	1	91	막막하다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	96	골치아프다
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	100	활발하다
