r	c	color	word
1	1	1	따뜻하다, 초조하다
1	2	2	두렵다
1	3	101	없음
1	4	4	후회스럽다, 따뜻함을느낀다
1	5	5	의기양양하다
1	6	101	없음
1	7	101	없음
1	8	8	명랑하다
1	9	9	귀찮다, 창피하다
1	10	10	자유스럽다, 편안하다, 싫다, 애착이간다
2	1	11	멋있다
2	2	101	없음
2	3	13	불안하다
2	4	101	없음
2	5	101	없음
2	6	16	안쓰럽다
2	7	101	없음
2	8	101	없음
2	9	19	착잡하다, 기쁘다
2	10	20	기분좋다
3	1	21	좋다
3	2	22	반감이든다
3	3	23	골치아프다
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	101	없음
3	8	101	없음
3	9	29	생기있다
3	10	101	없음
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	34	짜릿하다
4	5	101	없음
4	6	101	없음
4	7	37	보기좋다
4	8	38	평화롭다
4	9	39	아리다
4	10	40	쾌활하다
5	1	41	열받는다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	101	없음
5	7	47	평온하다, 우습다
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	51	시원하다, 확신감이든다, 초조하다
6	2	101	없음
6	3	53	숨막힌다
6	4	54	시원하다, 유감스럽다
6	5	55	보기좋다
6	6	56	고맙다, 순수하다
6	7	57	훈훈하다
6	8	101	없음
6	9	101	없음
6	10	60	기분좋다, 생기있다, 자유스럽다
7	1	101	없음
7	2	62	아득하다
7	3	101	없음
7	4	64	멋있다
7	5	101	없음
7	6	101	없음
7	7	67	존경스럽다
7	8	101	없음
7	9	101	없음
7	10	70	의아하다
8	1	71	당당하다, 불안하다
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	75	대단하다
8	6	76	산뜻하다
8	7	101	없음
8	8	101	없음
8	9	79	보기좋다
8	10	101	없음
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	87	생기있다
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	막막하다
10	2	101	없음
10	3	93	찜찜하다
10	4	101	없음
10	5	95	공허하다
10	6	96	안전하다
10	7	97	숨막힌다
10	8	98	주눅이들다
10	9	101	없음
10	10	101	없음
