r	c	color	word
1	1	1	멋지다
1	2	101	없음
1	3	101	없음
1	4	101	없음
1	5	5	상큼하다, 기쁘다, 애정이깊다
1	6	101	없음
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	자신있다, 상큼하다, 평화롭다
2	1	101	없음
2	2	101	없음
2	3	13	지겹다
2	4	14	반갑다
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	101	없음
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	24	열받는다
3	5	101	없음
3	6	26	개운하다
3	7	101	없음
3	8	28	즐겁다
3	9	101	없음
3	10	30	부끄럽다, 좋다
4	1	101	없음
4	2	32	기죽는다
4	3	101	없음
4	4	101	없음
4	5	101	없음
4	6	36	서운하다
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	40	귀찮다
5	1	41	다정하다
5	2	42	온화하다
5	3	43	속이끓는다
5	4	101	없음
5	5	45	평온하다, 의아하다
5	6	46	살맛난다, 공허하다
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	50	안전하다
6	1	51	막막하다
6	2	52	씩씩하다, 불안하다
6	3	53	좋다
6	4	54	긴장을느낀다, 초조하다
6	5	55	시원하다, 평온하다, 시원하다
6	6	56	흡족하다
6	7	57	자유스럽다, 마음이무겁다
6	8	101	없음
6	9	101	없음
6	10	60	흐뭇하다, 마음이무겁다, 온화하다
7	1	101	없음
7	2	62	당혹스럽다
7	3	63	부럽다
7	4	64	귀찮다, 마음이무겁다
7	5	65	피곤하다, 불안하다
7	6	66	좋다, 어지럽다
7	7	67	안심된다, 지겹다
7	8	101	없음
7	9	101	없음
7	10	101	없음
8	1	101	없음
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	80	막막하다
9	1	101	없음
9	2	101	없음
9	3	83	떨리다
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	울적하다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	96	신난다
10	7	101	없음
10	8	98	멍해진다
10	9	101	없음
10	10	101	없음
