r	c	color	word
1	1	1	끔찍하다, 거부감이든다, 가슴이찢어진다, 흥분된다, 끔찍하다, 분노하다
1	2	101	없음
1	3	101	없음
1	4	101	없음
1	5	101	없음
1	6	6	토할것같다
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	역겹다, 시원하다, 기쁘다, 피가끓어오른다
2	1	11	피가끓어오른다, 떨린다, 흥분된다
2	2	12	토할것같다, 아찔하다
2	3	101	없음
2	4	101	없음
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	18	따뜻함을느낀다
2	9	19	놀랍다
2	10	101	없음
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	27	유쾌하다
3	8	101	없음
3	9	101	없음
3	10	101	없음
4	1	101	없음
4	2	32	혐오감을느낀다
4	3	33	속이끓는다
4	4	34	다정하다
4	5	101	없음
4	6	101	없음
4	7	37	선하다
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	41	속이끓는다, 불쾌하다
5	2	101	없음
5	3	101	없음
5	4	44	역겹다
5	5	45	숨막힌다
5	6	101	없음
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	101	없음
6	2	101	없음
6	3	53	자유롭다, 즐겁다
6	4	54	신난다, 캄캄하다
6	5	55	안심된다
6	6	101	없음
6	7	57	어이없다, 안전하다
6	8	101	없음
6	9	101	없음
6	10	101	없음
7	1	61	머리카락이곤두선다, 역겹다, 아련하다
7	2	101	없음
7	3	101	없음
7	4	64	시원하다
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	68	안전하다
7	9	101	없음
7	10	101	없음
8	1	71	쓸쓸하다
8	2	72	캄캄하다
8	3	73	걱정스럽다
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	101	없음
9	1	81	우울하다
9	2	82	짜증난다, 끔찍하다
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	숨막히다, 토할것같다, 비참하다
10	2	92	지겹다
10	3	93	캄캄하다, 겁에질린다, 처참하다
10	4	101	없음
10	5	95	처참하다, 처량하다, 혼란스럽다
10	6	96	착잡하다, 안전하다, 생기있다
10	7	97	짜증난다
10	8	101	없음
10	9	99	아련하다
10	10	101	없음
