r	c	color	word
1	1	1	무섭다, 아찔하다, 자신감을느낀다, 놀라다, 따뜻하다
1	2	2	씩씩하다
1	3	101	없음
1	4	101	없음
1	5	101	없음
1	6	101	없음
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	대단하다, 온화하다, 보기좋다
2	1	11	막막하다, 자신있다
2	2	12	무섭다, 자유롭다, 걱정스럽다, 기분이묘하다
2	3	101	없음
2	4	14	마음이넓다, 긴장을느낀다, 편안하다
2	5	15	평화롭다
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	101	없음
3	1	21	관대하다
3	2	101	없음
3	3	23	괴롭다
3	4	101	없음
3	5	25	피가끓어오른다
3	6	101	없음
3	7	27	다정하다
3	8	28	창피하닫, 우습다, 어지럽다, 다정하다
3	9	101	없음
3	10	101	없음
4	1	31	온화하다
4	2	101	없음
4	3	101	없음
4	4	101	없음
4	5	101	없음
4	6	36	마음이넓다
4	7	101	없음
4	8	101	없음
4	9	39	어이없다
4	10	101	없음
5	1	101	없음
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	46	당황스럽다, 가엾다
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	51	무시무시하다
6	2	52	활발하다
6	3	53	확신감이든다
6	4	54	불쾌하다, 평온하다, 흥분된다
6	5	55	씩씩하다
6	6	101	없음
6	7	101	없음
6	8	58	평온하다
6	9	101	없음
6	10	60	질리다, 활기차다
7	1	101	없음
7	2	62	먹먹하다
7	3	63	골치스럽다
7	4	64	시원하다
7	5	65	쓰리다, 당당하다
7	6	101	없음
7	7	101	없음
7	8	101	없음
7	9	101	없음
7	10	70	흐뭇하다
8	1	101	없음
8	2	72	섬직하다
8	3	101	없음
8	4	74	시원하다, 막막하다
8	5	101	없음
8	6	76	관대하다, 훈훈하다
8	7	77	짜릿하다
8	8	78	씩씩하다
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	82	멍해진다
9	3	101	없음
9	4	84	쓰리다
9	5	101	없음
9	6	86	쑥스럽다
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	역겹다, 처량하다, 두렵다
10	2	92	침통하다, 캄캄하다
10	3	93	캄캄하다
10	4	94	소름끼치다, 찡찡하다
10	5	95	가슴이답답하다
10	6	96	먹먹하다, 자신있다
10	7	97	초조하다
10	8	101	없음
10	9	101	없음
10	10	101	없음
