tnum	tval	tname	tplateau
11	8	Cloud Management Platform	Two_to_five_years
11	8	Context Brokers	Five_to_10_years
11	8	Digital Security	Five_to_10_years
11	8	Virtual Personal Assistants	Five_to_10_years
14	13	Cognitive Computing	Five_to_10_years
16	18	Smart City Framework	Five_to_10_years
16	18	Smart Machines in Government	Five_to_10_years
17	23	Big Data Analytics for Marketing	Obsolete_before_Plateau
17	23	Creating Shared Value	Five_to_10_years
17	23	IT Operations Analytics	Two_to_five_years
17	23	Limited Disclosure Technology	More_than_10_years
17	23	SDA for Application Services	Two_to_five_years
17	23	SDA for Application Services	Two_to_five_years
18	28	Advanced Anomaly Detection	Five_to_10_years
18	28	Banking App Stores	Two_to_five_years
18	28	Cloud Integrated Infrastructure Services (CIIS)	Two_to_five_years
18	28	Community Management	Five_to_10_years
18	28	Finance and Accounting BPaaS	More_than_10_years
18	28	Internet of Things Impact on EA	Five_to_10_years
18	28	Molecular Transistors	More_than_10_years
18	28	Neuromorphic Hardware	More_than_10_years
18	28	Process Solution Frameworks	More_than_10_years
18	28	Semantic Annotators	More_than_10_years
18	28	Silicon Photonics	Five_to_10_years
18	28	Software-Defined Compute	Five_to_10_years
18	28	Supply Chain Big Data Analytics	Five_to_10_years
18	28	Uplift Modeling	Five_to_10_years
19	33	Big Data and ERP	Five_to_10_years
19	33	IMC-Enabled Capabilities for Hadoop	Five_to_10_years
19	33	Java Enterprise Edition Version 7	Five_to_10_years
19	33	Machine Learning Server Hardware	Five_to_10_years
19	33	Smart Machine Healthcare Sage Apps	Five_to_10_years
20	38	Big Data Analytics for Customer Service	Obsolete_before_Plateau
20	38	Carbon Markets	More_than_10_years
20	38	Cloud MDM Hub Services	Five_to_10_years
20	38	Intelligent Transportation Systems	Five_to_10_years
20	38	JavaScript everywhere	Five_to_10_years
20	38	Solid-State DIMMs	Two_to_five_years
21	43	All-in-One Supply Collaboration Platforms	Five_to_10_years
21	43	Case Management Solutions	Two_to_five_years
21	43	Cloud/Client Computing	Five_to_10_years
21	43	Federated Service Desk for CSB	Five_to_10_years
21	43	Internet of Things in Insurance	More_than_10_years
21	43	OneAPI	Five_to_10_years
21	43	Quantum Computing	More_than_10_years
21	43	Social Analytics	Two_to_five_years
21	43	Software-Defined Anything	Five_to_10_years
22	48	Citizen e-ID	Five_to_10_years
22	48	Cloud Event Processing Services	Five_to_10_years
22	48	Decisions and Recommendations as a Service	Five_to_10_years
22	48	Hadoop-Based Data Discovery	Five_to_10_years
22	48	"IMC-Enabled, Packaged CRM/ERP/CPM Applications"	Five_to_10_years
22	48	IP Money	Five_to_10_years
22	48	Multi-Purpose PaaS	Two_to_five_years
22	48	Software-Defined Data Center	Five_to_10_years
22	48	Water Management	Five_to_10_years
