tnum	tval	tname	tplateau
14	13	Smart Home Appliances	Five_to_10_years
19	33	NFC Printing	Two_to_five_years
24	58	TV App Platforms	Five_to_10_years
45	98	Consumer Smart Appliances	Five_to_10_years
45	98	OLED Lighting	Five_to_10_years
50	90	Solar Power Mobile Devices	Five_to_10_years
53	79	Car Connectivity Consortium	Five_to_10_years
54	73	Social TV	Five_to_10_years
55	68	Connected Televisions	Five_to_10_years
97	18	3D LCDs	Less_than_two_years
107	24	Pagewide-Array Office Inkjet Printing	Two_to_five_years
142	49	AMOLED	Two_to_five_years
187	60	Blu-ray Devices for Consumers	Less_than_two_years
