r	c	color	word
1	1	1	속이끓는다, 애착이간다
1	2	101	없음
1	3	101	없음
1	4	101	없음
1	5	101	없음
1	6	101	없음
1	7	101	없음
1	8	101	없음
1	9	9	긴장하다
1	10	10	유쾌하다, 창피하다, 마음이가볍다, 기분이묘하다, 행복하다
2	1	101	없음
2	2	12	뛸듯하다
2	3	101	없음
2	4	14	성질난다
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	19	마음이확열린다, 훈훈하다, 날아갈듯하다
2	10	20	씩씩하다, 만족스럽다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	25	싫다
3	6	101	없음
3	7	101	없음
3	8	101	없음
3	9	29	쾌활하다, 멋지다
3	10	30	행복하다
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	34	활발하다
4	5	101	없음
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	41	생기있다
5	2	101	없음
5	3	43	긴장하다
5	4	101	없음
5	5	45	멍해진다, 배아프다
5	6	46	긴장을느끼다
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	50	멋있다
6	1	101	없음
6	2	101	없음
6	3	53	캄캄하다
6	4	54	걱정스럽다, 멋있다, 자유롭다, 생기있다
6	5	55	시원하다, 신난다
6	6	56	초조하다, 순수하다
6	7	101	없음
6	8	101	없음
6	9	59	보기좋다, 반했다
6	10	60	소박하다
7	1	61	자유스럽다
7	2	101	없음
7	3	101	없음
7	4	64	처참하다, 쌀쌀하다
7	5	65	외롭다
7	6	101	없음
7	7	101	없음
7	8	68	안전하다
7	9	101	없음
7	10	101	없음
8	1	101	없음
8	2	72	울적하다, 마음이확열린다
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	77	찜찜하다, 시원하다
8	8	101	없음
8	9	101	없음
8	10	80	흥겹다
9	1	101	없음
9	2	82	억울하다
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	87	마음이확열린다
9	8	101	없음
9	9	101	없음
9	10	90	희망차다
10	1	101	없음
10	2	92	자신있다
10	3	101	없음
10	4	101	없음
10	5	95	막막하다
10	6	96	의심스럽다
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	100	걱정된다
