r	c	color	word
1	1	1	놀랍다
1	2	2	멋쩍다, 따뜻함을느끼다
1	3	3	덥다, 따뜻하다
1	4	101	없음
1	5	5	놀랍다, 온화하다
1	6	101	없음
1	7	101	없음
1	8	8	밉다
1	9	9	흡족하다
1	10	10	안전하다, 온화하다, 행복하다, 황홀하다, 짜증난다
2	1	101	없음
2	2	101	없음
2	3	101	없음
2	4	101	없음
2	5	15	뿌듯하다
2	6	101	없음
2	7	101	없음
2	8	18	행복하다
2	9	19	쾌활하다
2	10	20	편안하다, 행복하다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	26	다정하다
3	7	101	없음
3	8	28	의기양양하다
3	9	29	평온하다, 지겹다
3	10	30	활기차다, 평화롭다, 시원하다
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	34	숨막힌다
4	5	35	따뜻함을느끼다
4	6	36	한심하다, 온화하다, 관대하다
4	7	37	반감이든다
4	8	38	즐겁다
4	9	39	안전하다
4	10	40	평온하다
5	1	101	없음
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	46	삼빡하다, 긴장하다, 온화하다
5	7	101	없음
5	8	101	없음
5	9	49	평화롭다
5	10	50	공허하다, 공허하다
6	1	51	귀찮다
6	2	101	없음
6	3	53	자신감을느낀다, 흡족하다, 편안하다
6	4	54	뿌듯하다, 안전하다, 쾌활하다, 평온하다
6	5	55	시원하다, 쾌활하다, 시원하다, 멋지다, 안좋다
6	6	56	마음이넓다, 편안하다, 의기양양하다, 멋있다
6	7	57	생기있다
6	8	58	자신감을느낀다, 평화롭다
6	9	59	미안하다
6	10	60	든든하다, 평화롭다
7	1	101	없음
7	2	101	없음
7	3	63	자유스럽다
7	4	101	없음
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	68	평온하다
7	9	101	없음
7	10	101	없음
8	1	71	걱정스럽다
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	80	불안하다
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	84	안전하다
9	5	85	떫다, 활기차다
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	목마르다
10	2	92	우울하다, 편안하다
10	3	93	슬프다
10	4	101	없음
10	5	101	없음
10	6	101	없음
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	101	없음
