r	c	color	word
1	1	1	명랑하다
1	2	101	없음
1	3	3	활기차다
1	4	101	없음
1	5	5	멋지다
1	6	101	없음
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	배아프다, 불안하다, 활기차다, 온화하다, 반갑다, 생기있다
2	1	101	없음
2	2	12	화난다, 감격스럽다, 긴장을느낀다
2	3	13	가엾다, 가엾다
2	4	101	없음
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	18	시원하다
2	9	101	없음
2	10	101	없음
3	1	101	없음
3	2	101	없음
3	3	23	뿌듯하다
3	4	101	없음
3	5	101	없음
3	6	26	개운하다
3	7	101	없음
3	8	28	생기있다, 초조하다
3	9	101	없음
3	10	30	신난다
4	1	101	없음
4	2	101	없음
4	3	33	막막하다
4	4	101	없음
4	5	35	생기있다
4	6	36	날아갈듯하다
4	7	37	평화롭다
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	101	없음
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	45	활기차다
5	6	46	허전하다
5	7	101	없음
5	8	101	없음
5	9	49	신난다
5	10	50	마음이가볍다
6	1	51	평온하다, 의심스럽다
6	2	101	없음
6	3	53	아리다
6	4	54	좋다, 개운하다
6	5	55	개운하다, 아리송하다, 상큼하다, 상큼하다
6	6	56	생기있다, 씩씩하다, 생기있다
6	7	57	자유롭다
6	8	101	없음
6	9	101	없음
6	10	60	유쾌하다
7	1	101	없음
7	2	101	없음
7	3	63	감격스럽다
7	4	101	없음
7	5	101	없음
7	6	101	없음
7	7	67	활발하다
7	8	101	없음
7	9	101	없음
7	10	70	온화하다
8	1	101	없음
8	2	101	없음
8	3	73	막막하다
8	4	74	마음이상하다
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	80	편안하다, 뿌듯하다, 기쁘다
9	1	81	침통하다
9	2	82	꼬였다
9	3	83	미어지다
9	4	101	없음
9	5	85	초조하다
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	89	안타깝다, 희망차다
9	10	101	없음
10	1	91	캄캄하다, 캄캄하다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	96	멋있다, 공허하다, 공허하다
10	7	101	없음
10	8	98	신난다
10	9	99	떫다
10	10	100	멍해진다, 멍해진다
