r	c	color	word
1	1	1	당황스럽다, 안좋다, 불쾌하다, 거부감이든다, 관대하다, 피가끓어오른다, 불안하다, 비참하다, 불안하다
1	2	2	죄책감이든다
1	3	101	없음
1	4	101	없음
1	5	5	핏대가선다, 긴장을느낀다
1	6	6	짜증난다, 평화롭다
1	7	7	불쌍하다, 불쌍하다
1	8	8	약오르다
1	9	101	없음
1	10	101	없음
2	1	11	절망스럽다, 끔찍하다
2	2	101	없음
2	3	101	없음
2	4	101	없음
2	5	101	없음
2	6	16	안타깝다, 안타깝다
2	7	101	없음
2	8	101	없음
2	9	19	흡족하다
2	10	101	없음
3	1	21	끔찍하다, 아찔하다, 무섭다, 무섭다
3	2	22	괴롭다
3	3	23	역겹다, 화난다, 흥분된다
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	101	없음
3	8	28	좋다
3	9	101	없음
3	10	101	없음
4	1	31	싫다, 안좋다
4	2	32	토할것같다
4	3	33	숨막힌다, 혐오감을느낀다
4	4	101	없음
4	5	101	없음
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	40	예쁘다
5	1	101	없음
5	2	42	괴롭다
5	3	101	없음
5	4	44	역겹다
5	5	45	착잡하다
5	6	101	없음
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	51	놀랍다, 어이없다, 역겹다, 어이없다
6	2	101	없음
6	3	53	한이맺힌다
6	4	54	시원하다
6	5	55	부끄럽다, 처량하다
6	6	101	없음
6	7	101	없음
6	8	101	없음
6	9	101	없음
6	10	60	자유스럽다
7	1	61	편안하다
7	2	62	귀찮다, 절망스럽다
7	3	63	안쓰럽다
7	4	101	없음
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	101	없음
7	9	101	없음
7	10	70	쑥스럽다
8	1	101	없음
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	101	없음
9	1	81	성에안찬다
9	2	101	없음
9	3	101	없음
9	4	84	반감이든다
9	5	101	없음
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	89	의아하다
9	10	101	없음
10	1	91	찜찜하다
10	2	101	없음
10	3	93	캄캄하다, 열받는다
10	4	101	없음
10	5	95	괴롭다, 막막하다
10	6	96	아련하다, 씩씩하다
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	100	침통하다
