tnum	tval	tname	tplateau
16	18	Personal Cloud Entertainment Platforms	Five_to_10_years
16	18	Transmedia	Five_to_10_years
22	48	Wireless Video ? 60GHz	Five_to_10_years
23	53	Video Chat for Customer Support	Five_to_10_years
24	58	Instruction Set Virtualization	Five_to_10_years
24	58	Social TV	Five_to_10_years
25	63	Personal Cloud	Two_to_five_years
26	68	Transactional Ad Units	Two_to_five_years
27	73	Mobile Social Gaming	Five_to_10_years
28	78	Context Delivery Architecture	Five_to_10_years
29	83	Mobile Application Security Testing	Two_to_five_years
29	83	Natural-Language Question Answering	Five_to_10_years
32	93	Context-Enriched Services	Five_to_10_years
32	93	Media Tablets in China	Two_to_five_years
32	93	Mobile Sports and Fitness	Two_to_five_years
32	93	Mobile Web Applications	Two_to_five_years
35	98	HTML5	Five_to_10_years
35	98	Ultrabooks	Two_to_five_years
40	100	BYOD	Two_to_five_years
40	100	Bring Your Own Device	Two_to_five_years
40	100	Mobile Devices in Bank Branches	Less_than_two_years
45	98	Glonass	Two_to_five_years
45	98	Mobile Collaboration Client	Two_to_five_years
48	95	Media Tablets	Five_to_10_years
49	93	Application Stores	Five_to_10_years
49	93	In-App Advertising	Two_to_five_years
50	90	Media Tablets in Government	Five_to_10_years
50	90	NFC Payment	Five_to_10_years
51	87	Mobile Application Stores	Two_to_five_years
51	87	Mobile Device Integration Into Automobiles	Two_to_five_years
52	83	Cloud Synchronization	Two_to_five_years
52	83	Internet TV	Five_to_10_years
55	68	Mobile Advertising	Two_to_five_years
55	68	Mobile WLAN Access Points	Two_to_five_years
55	68	Over-the-Top Set-Top Boxes	Two_to_five_years
58	51	Mobile-Learning Smartphones	Five_to_10_years
66	29	Ultra-Mini-PC	Less_than_two_years
68	26	Automotive HMI Technologies	Five_to_10_years
93	16	Digital Thin Wallet Solutions	Less_than_two_years
97	18	TV Place-Shifting	Two_to_five_years
97	18	Voice to Text on Mobile Devices	More_than_10_years
97	18	Wireless Video ? 2.4/5GHz	Less_than_two_years
100	20	All-in-One PCs	Two_to_five_years
100	20	Media Tablets	Less_than_two_years
107	24	Connected Portable Media Players	Less_than_two_years
113	28	Mobile Advertising	Two_to_five_years
113	28	Mobile Advertising	Two_to_five_years
113	28	Multitouch Displays	Less_than_two_years
113	28	Workforce Resilience	Two_to_five_years
119	32	Continuous Data Protection	Two_to_five_years
123	35	Mobile Devices in Dealerships	Two_to_five_years
132	42	Magnetometer	Two_to_five_years
136	45	VoIP Over WLAN	Less_than_two_years
139	47	Cloud Advertising	Two_to_five_years
142	49	Embedded Cellular Data	Less_than_two_years
148	52	Consumer Digital Rights Management	Two_to_five_years
156	55	Speech Recognition	Two_to_five_years
161	56	Interactive TV	Two_to_five_years
161	56	Premium Communication Devices - Open OS	Less_than_two_years
166	57	Mobile Handheld Devices for Utilities	Two_to_five_years
166	57	Mobile IM	Less_than_two_years
166	57	Mobile Search	Less_than_two_years
166	57	Tablet PCs for Healthcare	Obsolete_before_Plateau
187	60	Mobile Application Development Platforms	Less_than_two_years
187	60	Podcasting	Less_than_two_years
