tnum	tval	tname	tplateau
14	13	Smart Home Appliances	Five_to_10_years
19	33	3D TV Services	More_than_10_years
21	43	Mobile Transphones	Five_to_10_years
23	53	Car Connectivity Consortium	Five_to_10_years
24	58	Social TV	Five_to_10_years
29	83	OLED Lighting	More_than_10_years
40	100	Broadband-Connected Televisions	Five_to_10_years
49	93	3D LCDs	Two_to_five_years
50	90	Solar Power Mobile Devices	Five_to_10_years
55	68	Mobile WLAN Access Points	Two_to_five_years
97	18	Pagewide-Array Office Inkjet Printing	Two_to_five_years
107	24	Connected TVs	Two_to_five_years
113	28	Basic Communication Devices - Open OS	Less_than_two_years
127	38	Open-Source Communications	Less_than_two_years
132	42	AMOLED	Two_to_five_years
166	57	Blu-ray Devices for Consumers	Less_than_two_years
