r	c	color	word
1	1	1	좋다
1	2	101	없음
1	3	101	없음
1	4	101	없음
1	5	5	끔찍하다, 쓰리다, 끔찍하다
1	6	101	없음
1	7	7	마음이가볍다
1	8	8	흥겹다
1	9	9	활기차다, 상큼하다
1	10	10	개운하다, 좋다, 기분좋다
2	1	11	지겹다
2	2	101	없음
2	3	101	없음
2	4	101	없음
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	19	놀랍다, 놀랍다
2	10	20	편안하다, 개운하다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	25	혼란스럽다, 기쁘다
3	6	101	없음
3	7	101	없음
3	8	28	기분좋다
3	9	101	없음
3	10	30	평화롭다
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	34	반했다
4	5	101	없음
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	41	가슴이아프다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	101	없음
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	50	서운하다
6	1	51	외롭다
6	2	101	없음
6	3	53	생기있다
6	4	101	없음
6	5	55	쌀쌀하다, 시원하다, 개운하다
6	6	56	든든하다, 산뜻하다, 생기있다
6	7	57	온화하다
6	8	101	없음
6	9	101	없음
6	10	60	관대하다, 살맛난다
7	1	101	없음
7	2	62	관대하다, 관대하다
7	3	63	시원하다
7	4	101	없음
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	101	없음
7	9	101	없음
7	10	70	골치아프다
8	1	101	없음
8	2	101	없음
8	3	73	기분이묘하다
8	4	101	없음
8	5	101	없음
8	6	76	안전하다, 안전하다
8	7	77	순수하다
8	8	101	없음
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	101	없음
9	8	88	신난다
9	9	101	없음
9	10	90	순수하다
10	1	91	막막하다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	95	걱정스럽다
10	6	96	평온하다
10	7	97	씩씩하다, 씩씩하다
10	8	98	밉다
10	9	101	없음
10	10	101	없음
