r	c	color	word
1	1	1	당당하다, 멋쩍다, 생기있다
1	2	101	없음
1	3	3	온화하다
1	4	101	없음
1	5	5	뿌듯하다, 사랑스럽다
1	6	101	없음
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	순수하다, 자유롭다, 평온하다, 온화하다
2	1	11	마음이가볍다
2	2	101	없음
2	3	101	없음
2	4	101	없음
2	5	15	활기차다
2	6	16	평화롭다
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	101	없음
3	1	101	없음
3	2	22	따뜻함을느낀다
3	3	101	없음
3	4	101	없음
3	5	25	감미롭다, 자유롭다
3	6	101	없음
3	7	101	없음
3	8	28	꼬였다
3	9	101	없음
3	10	30	좋다
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	34	씩씩하다
4	5	35	절망스럽다
4	6	36	어지럽다
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	40	자유롭다, 안타깝다, 당당하다
5	1	41	안좋다, 귀찮다
5	2	101	없음
5	3	101	없음
5	4	44	피가끓어오른다
5	5	45	마음이확열린다, 멍해진다
5	6	46	마음이가볍다, 미안하다
5	7	101	없음
5	8	101	없음
5	9	49	이상하다
5	10	50	훈훈하다, 막막하다
6	1	51	시원하다
6	2	101	없음
6	3	53	자유스럽다
6	4	54	시원하다, 쾌활하다
6	5	55	자신감을느낀다
6	6	56	속상하다
6	7	101	없음
6	8	58	편안하다
6	9	59	좋다
6	10	60	그립다, 산뜻하다, 명랑하다, 자유롭다
7	1	61	쌀쌀하다, 씩씩하다
7	2	101	없음
7	3	63	든든하다, 죄스럽다
7	4	64	귀찮다
7	5	65	당혹스럽다
7	6	66	유쾌하다
7	7	67	귀찮다
7	8	68	안심된다
7	9	101	없음
7	10	70	생기있다, 쾌활하다
8	1	101	없음
8	2	101	없음
8	3	73	어지럽다
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	79	먹먹하다
8	10	80	쓰리다, 선하다
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	85	당황스럽다
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	89	고맙다
9	10	90	희망차다
10	1	91	기죽는다, 소름끼치다, 마음이무겁다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	95	힘들다
10	6	101	없음
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	100	멍해진다, 자유스럽다
