r	c	color	word
1	1	1	짜증난다, 무섭다, 끔찍하다, 불쾌하다, 꼬였다, 아프다
1	2	2	배아프다
1	3	3	선하다, 구역질이나다
1	4	101	없음
1	5	101	없음
1	6	6	놀라다
1	7	101	없음
1	8	8	섭섭하다, 골치아프다
1	9	101	없음
1	10	10	기쁘다, 안좋다, 놀라다
2	1	101	없음
2	2	12	섬직하다, 평온하다
2	3	13	구역질이난다
2	4	101	없음
2	5	15	산뜻하다
2	6	101	없음
2	7	101	없음
2	8	18	역겹다
2	9	19	평화롭다
2	10	101	없음
3	1	21	성질난다
3	2	101	없음
3	3	23	아찔하다
3	4	101	없음
3	5	25	혐오감을느낀다
3	6	101	없음
3	7	101	없음
3	8	101	없음
3	9	29	거부감이들다
3	10	30	성질난다, 예쁘다
4	1	31	긴장하다
4	2	32	무시무시하다
4	3	101	없음
4	4	34	미안하다
4	5	35	긴장을느낀다
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	39	보기좋다
4	10	101	없음
5	1	41	떫다, 소름끼치다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	101	없음
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	50	아득하다
6	1	51	시원하다, 처량하다
6	2	101	없음
6	3	53	순수하다, 시원하다, 관대하다
6	4	54	시원하다
6	5	55	시원하다, 생기있다, 멍해진다
6	6	101	없음
6	7	101	없음
6	8	58	멋지다
6	9	101	없음
6	10	60	애착이간다, 착잡하다, 자신있다, 반갑다
7	1	101	없음
7	2	62	귀찮다
7	3	101	없음
7	4	101	없음
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	101	없음
7	9	69	온화하다
7	10	70	씩씩하다
8	1	71	걱정스럽다
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	75	마음이무겁다
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	79	찜찜하다
8	10	101	없음
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	84	시원하다
9	5	101	없음
9	6	86	당당하다
9	7	87	든든하다
9	8	88	안전하다
9	9	89	고맙다
9	10	101	없음
10	1	101	없음
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	96	숨막힌다, 시원하다
10	7	97	싫다
10	8	98	우울하다
10	9	101	없음
10	10	100	울적하다
