r	c	color	word
1	1	1	짜증난다, 처참하다, 멋지다, 처참하다
1	2	2	질투심이난다
1	3	101	없음
1	4	101	없음
1	5	5	기분좋다, 미치겠다, 씩씩하다, 멍해진다
1	6	6	기분이묘하다
1	7	7	막막하다, 온화하다
1	8	101	없음
1	9	101	없음
1	10	10	안심된다, 자유롭다, 아련하다
2	1	101	없음
2	2	101	없음
2	3	101	없음
2	4	14	훈훈하다, 주눅이들다
2	5	15	아리다
2	6	16	신경질난다, 침통하다
2	7	101	없음
2	8	18	개운하다
2	9	19	쾌활하다
2	10	101	없음
3	1	21	무섭다
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	101	없음
3	8	101	없음
3	9	29	짜릿하다
3	10	30	아름답다
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	34	생기있다
4	5	101	없음
4	6	36	평화롭다
4	7	37	아름답다
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	101	없음
5	2	42	좋다
5	3	101	없음
5	4	101	없음
5	5	45	관대하다
5	6	46	편안하다
5	7	101	없음
5	8	48	흐뭇하다
5	9	101	없음
5	10	50	아리송하다
6	1	51	불쌍하다
6	2	52	당당하다, 당당하다
6	3	53	자유스럽다
6	4	54	신난다, 시원하다, 당당하다, 편안하다
6	5	55	어이없다, 시원하다, 쾌활하다, 우울하다, 평온하다
6	6	56	편안하다, 자신있다, 쾌활하다
6	7	57	활기차다
6	8	58	편안하다, 가슴벅차다, 산뜻하다
6	9	101	없음
6	10	60	안전하다, 끔찍하다, 평화롭다
7	1	61	안쓰럽다
7	2	62	막막하다
7	3	101	없음
7	4	64	활기차다, 편안하다
7	5	65	생기있다, 부럽다
7	6	66	삼빡하다
7	7	67	좋다
7	8	68	쾌활하다
7	9	101	없음
7	10	70	든든하다
8	1	71	아리다
8	2	101	없음
8	3	73	불안하다, 산뜻하다
8	4	101	없음
8	5	75	놀라다
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	79	편안하다
8	10	80	놀랍다
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	85	겁이나다
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	89	안전하다
9	10	101	없음
10	1	101	없음
10	2	92	편안하다
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	101	없음
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	101	없음
