r	c	color	word
1	1	101	없음
1	2	2	뿌듯하다
1	3	3	개운하다
1	4	101	없음
1	5	5	가슴뭉클하다
1	6	6	놀라다
1	7	101	없음
1	8	8	흡족하다
1	9	101	없음
1	10	10	멋쩍다, 마음이가볍다, 공허하다, 아련하다, 든든하다, 자유스럽다
2	1	101	없음
2	2	12	혐오감을느낀다
2	3	101	없음
2	4	101	없음
2	5	15	침통하다
2	6	16	씩씩하다
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	20	씩씩하다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	25	허전하다
3	6	101	없음
3	7	101	없음
3	8	28	훈훈하다, 측은하다
3	9	101	없음
3	10	30	희망차다
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	34	따뜻함을느낀다
4	5	35	보기좋다, 당황하다
4	6	36	울적하다
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	40	온화하다, 멍해진다
5	1	101	없음
5	2	42	어지럽다
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	101	없음
5	7	47	측은하다
5	8	101	없음
5	9	101	없음
5	10	50	아찔하다, 기분이묘하다
6	1	51	떫다
6	2	52	애처롭다, 우울하다
6	3	53	든든하다
6	4	54	안타깝다, 씩씩하다, 자유스럽다, 멍해진다, 가슴이아프다, 편안하다
6	5	55	멋있다, 측은하다, 훈훈하다
6	6	56	먹먹하다
6	7	101	없음
6	8	58	편안하다, 확신감이든다
6	9	59	아찔하다
6	10	60	상큼하다, 평화롭다, 뿌듯하다
7	1	61	안타깝다
7	2	101	없음
7	3	63	안전하다, 쓸쓸하다
7	4	101	없음
7	5	65	멋쩍다
7	6	101	없음
7	7	101	없음
7	8	68	평온하다
7	9	101	없음
7	10	70	안전하다
8	1	71	유감스럽다
8	2	101	없음
8	3	101	없음
8	4	74	기분이묘하다
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	79	안전하다
8	10	101	없음
9	1	81	숨막힌다
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	85	대단하다
9	6	86	울적하다
9	7	87	든든하다, 생기있다
9	8	101	없음
9	9	89	짜릿하다
9	10	101	없음
10	1	91	두렵다, 착잡하다
10	2	92	평온하다
10	3	93	가슴이아프다
10	4	101	없음
10	5	101	없음
10	6	96	가엾다, 당황스럽다
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	101	없음
